pk_id_deliverables_info,version,date_from,date_to,deliv_id,"title","description","deliverable_type","dissemination_URL","DOI"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2119,"Estimation of GHG emission intensity from dairy production in the context of the dairy NAMA",,"Journal Article (peer reviewed)",,
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2140,"Farmers? organizations and CSA: a case study from Vietnam",,"Book chapter","http://www.worldagroforestry.org/region/sea/publications/detail?pubID=3590",
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2144,"The role of knowledge in the adoption of agriculture innovation:implications for climate-smart agriculture in Vietnam",,"Thesis",,
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2192,"CRAFT: CCAFS Regional Agricultural Forecasting Toolbox","The CCAFS Regional Agricultural Forecasting Tool (CRAFT) is an open source crop forecasting platform that will help bring powerful advance information tools to farmers and food security decision makers, better allowing them to manage within-season climate risk to agriculture. 
","Data portal/Tool/Model code/Computer software","https://apps.agapps.org/ide/craft/",
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2270,"A prototype of the composite Agrobiodiversity Index for use at country level and applications for investments in green bond and stock markets","Not applicable","Funder report","https://cgiar.sharepoint.com/:f:/s/IFPRI/A4NH/EgcJ0MzO7RtCjC0YnI1hyUYBk9FMXOzYPRiBz5CPnCkqrg?e=a6WB3m",
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2308,"Malawi Child Centres - journal article manuscript on impact assessment","Not applicable","Journal Article (peer reviewed)","http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5872",
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2345,"Stories of Change - Vietnam - Policy mapping","Not applicable","Discussion paper/Working paper/White paper",,
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2346,"Stories of Change - Tanzania - Policy mapping","Not applicable","Discussion paper/Working paper/White paper",,
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2467,"Aflasafe commercialization strategy (with private sector partners) for Nigeria","Document describing the best strategy to manufacture, distribute and commercialize Aflasafe in Nigeria","Discussion paper/Working paper/White paper",,
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2468,"Dossier prepared for regulatory authorities for aflasafe registration in Burkina Faso","Documents summarising efficacy of aflasafe in maize and groundnut cultivated in Burkina Faso. The dossier was submitted to the regulatory authority and registration was approved as of May 2017","Policy brief/policy note/briefing paper",,
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3130,"Publication on human brucellosis diagnostics to inform national policies in East Africa","Not applicable","Journal Article (peer reviewed)","https://cgspace.cgiar.org/handle/10568/80714",
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3179,"ABD publication - 2 chapters authored by Kennedy and Remans","Mainstreaming Agrobiodiversity in Sustainable Food Systems: Scientific Foundations for an Agrobiodiversity Index
Kennedy, G., et al. ""Food biodiversity for healthy, diverse diets."" 
Remans, Roseline, et al. ""Towards an agrobiodiversity index for sustainable food systems."" ","Book chapter","https://cgspace.cgiar.org/handle/10568/89049",
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3266,"New crosses of breeding line","25 new crosses of Urochloa and 274 new crosses of Megathyrsus breeding lines available until December 2017 for further testing in 2018","Discussion paper/Working paper/White paper","goo.gl/vn1VNF",
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3477,"Gender Specific NRP for 3 countries. Comparative analysis with the existing findings on the Women Empowerment Index for these countries.","Deliverable Dataset and Discussion Paper","Database/Dataset/Data documentation",,
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3505,"Measuring Distortions to Agricultural Incentives for Value Chain Analysis: Evidence from Indian Oilseeds and Biofuel Value Chains","NA","Journal Article (peer reviewed)","http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6392",
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3539,"Governing a shared, critical biodiversity landscape through cross-border dialogue platform ","Title updated from the old one ""Local level development of cross border biodiversity protocols in Kenya and Somalia: Key principles""","Policy brief/policy note/briefing paper","http://www.worldagroforestry.org/downloads/Publications/PDFS/PB18002.pdf",
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3551,"River management decisions will be informed and strengthened by regionally-appropriate, equitable, cost-effective river health frameworks, data collection and monitoring systems.","River management decisions will be informed and strengthened by regionally-appropriate, equitable, cost-effective river health frameworks, data collection and monitoring systems.","Data portal/Tool/Model code/Computer software","https://drive.google.com/file/d/1bSieNUKlAbgDolsC69QkN3EJEcdIHd7U/view",
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3641,"Stories of Change - Vietnam journal article","not applicable","Journal Article (peer reviewed)",,
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3642,"Stories of Change - Tanzania - Report","not applicable","Discussion paper/Working paper/White paper",,
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3644,"POSHAN - state level stories of change - Gujarat","not applicable","Policy brief/policy note/briefing paper",,
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3694,"Decision analysis methods guide - Agricultural policy for nutrition","Manual describing the decision analysis procedures developed during the project","Guidebook/Handbook/Good Practice Note","http://www.worldagroforestry.org/downloads/Publications/PDFS/WP18001.pdf",
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3850,"GM Economic assessments in Nigeria Ethiopia and Uganda - template for data collection for the Dream Model ","BioRapp","Factsheet, Project Note",,
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4003,"Impact evaluation - Expansion of ICT-Enabled Agricultural Extension Services in Ethiopia","Activity:""An Impact Evaluation of Digital Green's 2016 Expansion of ICT(information and communication technologies)-Enabled Agricultural Extension Services in Ethiopia (Digital Green IE Ethiopia)"" (PS March 28: it is confirmed that these reports are the final deliverables)","Funder report",,
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4207,"Datasets - p67 as candidate vaccine, antigen delivery system, vaccine targeting etc.","New immunogenicity data on p67 nanoparticles as a candidate vaccine antigen.

New data on an antigen delivery system to induce robust antigen-specific CD8 T-cells in cattle. 

New data on a vaccine targeting the sporozoite and schizont stage of the parasite.","Database/Dataset/Data documentation",,
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4250,"Forage hybrids scaled to 100,000 hectares in at least 15 countries","Forage hybrids scaled to 100,000 hectares in at least 15 countries in 2017","Discussion paper/Working paper/White paper","goo.gl/wchnQ9",
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4325,"Paper - Trade off curves and HH type specific global environmental change sensitivities quantified","Peer reviewed paper","Journal Article (peer reviewed)","https://cgspace.cgiar.org/handle/10568/80193",
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4433,"Publication on efficacy of aflasafe in Nigeria","4 year data publication on efficacy of aflasafe in limiting aflatoxin accumulation of maize and groundnut in Nigeria","Journal Article (peer reviewed)",,
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4434,"Publication on strain selection to constitute the Aflasafe products Aflasafe GH01 and Aflasafe GH02","3 year data publication on efficacy of aflasafe GH01 and aflasafe GH02 in limiting aflatoxin accumulation of maize and groundnut in Ghana","Journal Article (peer reviewed)","https://cgspace.cgiar.org/handle/10568/103648",
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4465,"Dossier prepared for regulatory authorities for aflasafe registration in Tanzania","Documents summarising efficacy of Aflasafe TZ01 and Aflasafe  TZ02 in maize and groundnut cultivated in Tanzania. The dossier was submited to the regulatory authority and registration was approved as of December 2017","Discussion paper/Working paper/White paper",,
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4466,"Dossier prepared for regulatory authorities for Aflasafe registration in Ghana","Documents summarising efficacy of Aflasafe GH01 and Aflasafe GH02 in maize and groundnut cultivated in Ghana. The dossier will be submitted to the regulatory authority in Ghana for registration approval","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/77ufktichuc76pg/AAAeciCXfASoQTitm7aQ_3vaa?dl=0",
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4467,"Dossier prepared for regulatory authorities for aflasafe registration in Malawi","Documents summarising efficacy of aflasafe in maize and groundnut cultivated in Malawi. The dossier will be submitted to the regulatory authority in 2018","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/3hvnvabzpz8ev2r/AADkWfS8xT_2xfjHHGEHXMRIa?dl=0",
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4468,"Dossier prepared for regulatory authorities for aflasafe registration in Zambia","Documents summarising efficacy of aflasafe in maize and groundnut cultivated in Zambia. The dossier will be submitted to the regulatory authority in 2018","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/igho72ew2h60fon/AADadqoHxUrdITVhl-XpkCNLa?dl=0",
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4469,"Dossier prepared for regulatory authorities for aflasafe registration in Mozambique","Documents summarising efficacy of aflasafe in maize and groundnut cultivated in Mozambique. The dossier will be submitted to the regulatory authority in 2018","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/crb8iktqd56h3qs/AABrw5-UBbHfpVTCFkpIcIvWa?dl=0",
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4470,"Frequency of Aflasafe application in Ghana","Study to determine frequencies of Aflasafe application in maize and groundnut in Ghana.","Funder report",,
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4473,"Current situation of aflatoxin contamination in groundnut in Zambia","Report on incidences and severities of aflatoxin contamination of groundnut in major producing areas of Zambia","Funder report","https://www.dropbox.com/sh/0elq5omk5pxi77f/AACUAKkunq50rlzvjHdZnCwaa?dl=0",
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4474,"Material for farmer sensitization in Zambia","Awareness materials for sensitizing Zambian farmers on aflatoxin and food safety","User manual/Technical Guide","https://www.dropbox.com/sh/4pcag9xdcwpcw40/AADbAtQzYKjUyc5giVGJR8Qma?dl=0",
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4476,"Aflasafe commercialization strategy (with private sector partners) for Burkina Faso","Documents describing the best strategy to manufacture, distribute and commercialize Aflasafe in Burkina Faso","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/1tebua9rmqrxgy1/AACbnuvFMSaDb4a3m3g8blrma?dl=0",
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4477,"Aflasafe commercialization strategy (with private sector partners) for Tanzania","Documents describing the best strategy to manufacture, distribute and commercialize Aflasafe in Tanzania","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/7vjevo1bgk2j6ky/AACCPG6oZt1SPnNrrtsgQt-Pa?dl=0",
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4483,"Training of Key personnel of FMARD and Harvestfield on aflatoxin management Aflasafe usage","Key personnel of the ministry of agriculture of Nigeria and the temporary Aflasafe distributor in Nigeria received training on aflatoxin management and","Funder report",,
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4494,"Aflasafe Production in Nigeria","At least 800 tons of aflasafe manufactured in Nigeriafor use in Nigeria, Ghana, and Burkina Faso. Evidence of Aflasafe production delivery will be attached.","Discussion paper/Working paper/White paper","https://www.dropbox.com/sh/zqag5hhyzx3xa71/AABWH7s382BRxNqZcX15U6lha?dl=0",
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4509,"Aflasafe Production in Tanzania, 2018","Aflasafe production of at least 10 tons produced in Tanzania for Tanzania, Mozambique, Zambia and Malawi","Database/Dataset/Data documentation","https://www.dropbox.com/sh/0m8r1amlo5ye9of/AABaLHoX3YLAOXRkZ0bgl7Tva?dl=0",
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4511,"PhD thesis of aflatoxin/Aflasafe work in Ghana","PhD thesis of Daniel Agbetiameh, Ghanaian student that conducted his research at IITA Ibadan. Outcome of his thesis resulted in development of Aflasafe products for Ghana.","Thesis","https://www.dropbox.com/sh/n15ppawq1el45iw/AACbPZoAApmBBfmdL2fpEc7Za?dl=0",
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4673,"Environmental suitability maps for all breeds of sheep and goat populations in Ethiopia ","Environmental suitability maps for all breeds of sheep and goat populations in Ethiopia ","Maps/Geospatial data","https://dx.doi.org/20.500.11766/9839",
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4716,"A poultry breeding and phenotypic facility at ILRI Addis Campus","A poultry breeding and phenotypic facility at ILRI Addis Campus","Article for media/Magazine/Other (not peer-reviewed)","https://cgspace.cgiar.org/handle/10568/92429",
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4902,"Manual on Woreda PLUP","Manual on Woreda PLUP","User manual/Technical Guide","https://cgspace.cgiar.org/handle/10568/99262",
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4908,"Manual on rangeland resource mapping","Manual on rangeland resource mapping","User manual/Technical Guide","https://cgspace.cgiar.org/handle/10568/51348",
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4957,"MRV Platform for Agriculture","The MRV Platform for Agriculture contains tools, approaches, and case studies for MRV of GHG emissions and mitigation actions in the agriculture sector. The platform initially focuses on MRV resources specific to livestock, but will accommodate MRV for other agricultural sectors and cross-cutting issues over time.","Website","https://www.agmrv.org",
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5098,"Use of ICT for disseminating climate, agro-advisory and market information to smallholder farmers in Ethiopia","Yezare Mobile App - ICT model for disseminating weather information, related agro-advisories, and market information through a mobile phone app and short-message-system will be tested. Information will be gathered for product development, and a sustainability mechanism will be devised to provide services for farmers in subsequent years.","Data portal/Tool/Model code/Computer software","http://yezare.net/",
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5130,"Modeling the reduction of post-harvest losses in the tomato value chain in Nigeria","Analysis of the role of trust and coordination in the reduction of post-harvest losses in the tomato value chain in Nigeria using agent-based modelling
","Discussion paper/Working paper/White paper","http://edepot.wur.nl/470201",
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5131,"Post-harvest losses in the tomato value chain in Nigeria","Report on the measurement of post-harvest losses (PHLs) in the tomato value chain in Nigeria and the impact of Agrofair-Taste intervention on reduction of PHLs
","Journal Article (peer reviewed)","https://doi.org/10.3390/su11010247",
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5143,"Donor report on ABD Index for China","List of indicators for monitoring agrobioversity in production, markets and conservation systems; data sets on area and productivity of species, group of crops and varieties in national production system; tools and methods for analyzing and indexing diversity of species, group of crops and varieties in production system; ","Funder report",,
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5176,"Randomized control trials demonstrate that nutrition-sensitive social protection interventions increase the use of multiple-micronutrient powders and iron supplements in rural pre-school Bangladeshi children","Target journal: British Journal of Nutrition","Journal Article (peer reviewed)","http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6196",
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5250,"Understanding decision-makers information use for food security and drought management","Based on extensive quantitative and qualitative data, participatory observation and participation, we describe and analyze technical, institutional and contextual barriers to agroclimatic and food security information use in Guatemala. ","Discussion paper/Working paper/White paper",,
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5265,"Improved Smart Monitoring App (v1) and regional trainings","Smart Monitoring App improved (including analytical modules) and implemented through the training of the CSV regional teams  in 4 CCAFS regions. ","Data portal/Tool/Model code/Computer software","https://cgspace.cgiar.org/handle/10568/100233",
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5307,"Food security and agroclimatic information system - source code ","The digital food security monitoring and information system adopted and implemented by SESAN includes different data analysis and visualization tools. The source code documents this. The code is not open access, as the system is for internal use of SESAN only","Data portal/Tool/Model code/Computer software",,
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5318,"The (Arab) Agricultural Investment for Development Analyzer (AIDA): An innovative tool for evidence-based planning","Application of Offline Rural Investment and Policy Analysis tool for selected MENA countries","Discussion paper/Working paper/White paper","http://ebrary.ifpri.org/cdm/ref/collection/p15738coll2/id/132267",
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5355,"CSA Investment Plans ","Development of CSA Investment Plans for 6 African Countries to be used to catalyze funding for CSA. Two countries have been completed in 2018 (Mali and Cote d'Ivoire)--the World Bank working in 2019 to scale out this approach to four additional countries (likely Cameroon, Ghana, Burkina Faso and Senegal). ","Policy brief/policy note/briefing paper",,
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5367,"Bridging the gap between climate science and farmers in Colombia","Journal article that describes the LTAC (Local Technical Agroclimatic Committees) approach developed by CCAFS and CIAT. ","Journal Article (peer reviewed)","https://cgspace.cgiar.org/handle/10568/97481",
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5402,"Climate smart monitoring and planning system for rice production in the MRD","As part of the ongoing activity on CS MAP in the Mekong River Delta, a web-based system that allows users to monitor and plan rice production based on real-time update of crop development stage, pest and disease and climate-related risks wil be developed.","Data portal/Tool/Model code/Computer software","https://cgspace.cgiar.org/handle/10568/100093  ",
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5692,"Options for a Tier 2 approach for dairy cattle in Kenya's GHG inventory ","The project supported two workshops at which national stakeholders discussed and planned a Tier 2 approach in the national GHG inventory. Workshops were convened by State Department of Livestock, GRA and FAO; UNIQUE provided facilitation support and technical input. An action plan for developing a Tier 2 approach was developed.","Policy workshop/Dialogue report",,
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5705,"Gender and dairy production: implications for support to gender-inclusive, low-emission development","A policy brief summarizing the implications of gender relationships in the dairy sector for projects and programmes intending to support gender-inclusive, low-emission development. It will be based on baseline survey data analysis, previous project analysis and target international funding sources (e.g. GCF & accredited entities).","Policy brief/policy note/briefing paper",,
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5795,"Translate vicious worm software into Kinyarwanda","n/a","Data portal/Tool/Model code/Computer software",,
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5804,"IMPACT webtool ","Completion of the IMPACT webtool. this online tool will allow to highlight results from projects that are based on the IMPACT model outputs","Data portal/Tool/Model code/Computer software","https://csi.maps.arcgis.com/apps/Cascade/index.html?appid=66ba20e26de84d6797fd1ec3a6703d7c",
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6012,"Gaming Climate Futures game for climate negotiators","Gaming Climate Futures game for climate negotiators developed with Purdue University in the lead.","Data portal/Tool/Model code/Computer software",,
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6020,"Options for keeping the food system within environmental limits","Article for Nature Climate-Change. It is led by Marco Springmann and focuses on planetary boundaries and diets: “Changes in food management, technology and diets to stay within planetary boundaries of the food system”.
This article is related to D3455, but it is broader in scope, and Oxford has additional collaborators. ","Journal Article (peer reviewed)","http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6389",
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6194,"GM Economic assessments in Nigeria, Ethiopia and Uganda - initial Dream model results","Part of the BioRAPP deliverables for 2018.
The Dream model initial results for Nigeria Ethiopia and Uganda","Database/Dataset/Data documentation",,
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6254,"Methodology for using GIS in chicken breeds suitability map in Ethiopia","Methodology developed for using GIS in chicken breeds suitability maps","Discussion paper/Working paper/White paper","https://cgspace.cgiar.org/handle/10568/98850",
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6283,"POSHAN - state level stories of change - Tamil Nadu","n/a","Policy brief/policy note/briefing paper",,
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6284,"POSHAN - state level stories of change - Chhattisgarh","n/a","Policy brief/policy note/briefing paper","http://poshan.ifpri.info/2018/01/08/improving-nutrition-in-chhattisgarh-insights-from-examining-trends-in-outcomes-determinants-and-interventions-between-2006-and-2016/",
79,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6285,"POSHAN - state level stories of change - State TBD","n/a","Policy brief/policy note/briefing paper",,
80,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6326,"Identify and map key maize stresses in selected counties in SSA","Maps showing key maize stresses will be developed for  selected counties in SSA for enhancing targeting and impact of maize technologies","Policy brief/policy note/briefing paper",,
81,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6342,"Milling Quality: The Achilles Heel of Cereal Foresight Studies?","Presentation on the importance of wheat quality in relation to foresight","Presentation/Poster",,
82,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6349,"rural and urban transformation and the effects of maize processing","Ekpa, O.; Palacios-Rojas, N.; Kruseman, G.; Fogliano, V.; Linnemann, A.R. 2018. Sub-Saharan African maize-based foods: Technological perspectives to increase the food and nutrition security impacts of maize breeding programmes. Global Food Security, 17, pp. 48-56. DOI: 10.1016/j.gfs.2018.03.007

","Journal Article (peer reviewed)",,
83,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6380,"Probabilistic Assessment of Investment Options in Honey Value Chains in Lamu County, Kenya","Probabilistic Assessment of Investment Options in Honey Value Chains in Lamu County, Kenya","Journal Article (peer reviewed)","https://doi.org/10.3389/fams.2018.00006",
84,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6620,"Convening a national rangelands dialogue in Tanzania","Convene a national rangeland management dialogue in Tanzania to garner high level support for the ongoing joint village planning processes so that they are more inclusive of pastoral livestock issues/ concerns.","Blog","https://livestocksystems.ilri.org/2018/03/15/tanzania-rangelands-national-dialogue-proposes-new-measures-for-sustainable-land-use-and-conflict-free-use-of-rangelands/",
85,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6662,"test of Two separate on-farm trials, early-intermediate (12 entries) and intermediate-late (24 entries)","were tested under farmers conditions at 25 sites in the target agro-ecologies in East Africa (Kenya, Uganda, Tanzania).   The entries included elite hybrids from CIMMYT, commercial checks, internal genetic checks and farmers checks. Five elite Monsanto hybrids were also included in the intermediate-late trial for comparison with CMMYT elite hybrids.  ","variety released",,
86,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6736,"After two cycles of generation advancement, lines with resistance to CSC ready for multi-location testing in Mexico and in other LatAm countries","Maize lines with resistance to CSC are ready for distribution","Line/variety developed",,
87,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6739,"A bacterial control agent tested for the first year (of two years) for its efficacy to control the mycotoxin production in maize. ","A bacterial control agent tested for the first year (of two years) for its efficacy to control the mycotoxin production in maize. ","Breeding technology",,
88,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6769,"Increased uptake of improved maize varieties for deployment by seed companies","In general, this activity gave farmers an opportunity to compare the new products with the best commercial varieties and farmers checks currently they are using, under their own condition and select their best choice among the available new products. The on-farm data is important to convince the farmers,  ","variety released",,
89,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6821,"gene editing in four CIMMYT maize inbred lines that are parents to two commercial hybrids in Africa ","Coordinate with DowDuPont 
 Initiate gene editing in four CIMMYT maize inbred lines susceptibe to MLN; 
RNASeq on MLN-infected susceptible and resistant lines in collaboration with DowDuPont to identify genes based on expression differences related to MLN resistance and narrow down candidates for validation ","Breeding technology",,
90,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6869,"Evaluation report of the MasAgro seed companies consortium.","Evaluation report of the MasAgro seed companies consortium: sales, market share, seed sector in Mexico, etc.","Outcome case study",,
91,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6875,"Results report: lines evaluation, experimental and advanced hybrid trials, yield validation network, and grain quality evaluations","Results report: lines evaluation, experimental and advanced hybrid trials, yield validation network, and grain quality evaluations.","Funder report",,
92,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6903,"Paper on impact of training in improved biosecurity in pig production (Uganda)","Paper on impact of training in improved biosecurity in pig production in Uganda","Journal Article (peer reviewed)",,
93,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6905,"Policy brief on Integrated development of biogas in West Africa (English and French)","The dissemination of biogas in sub-Saharan Africa encounters key obstacles, such as constraints to mobilise organic residues, high initial construction costs, insufficient maturity of national biogas programs, technical, institutional and socio-cultural barriers. Innovative information
and capacity building approaches are needed.For the brief see: http://www.ruaf.org/sites/default/files/RUAF-Policy%20Brief%20WABEF-EN-LR.pdf; For the brief in French:  http://www.ruaf.org/sites/default/files/RUAF-WABEF-FR-CORR-LR.pdf","Policy brief/policy note/briefing paper","https://www.ruaf.org/sites/default/files/RUAF-Policy%20Brief%20WABEF-EN-LR.pdf",
